Constituency,Const. No.,Leading Candidate,Trailing Candidate,Trailing Party,Margin,State,Leading Party
Birbhum,42,SATABDI ROY,DEBTANU BHATTACHARYA,Bharatiya Janata Party,197650,West Bengal,All India Trinamool Congress
Bishnupur,37,KHAN SAUMITRA,SUJATA MONDAL,All India Trinamool Congress,5567,West Bengal,Bharatiya Janata Party
Bolpur,41,ASIT KUMAR MAL,PIYA SAHA,Bharatiya Janata Party,327253,West Bengal,All India Trinamool Congress
Coochbehar,1,JAGADISH CHANDRA BARMA BASUNIA,NISITH PRAMANIK,Bharatiya Janata Party,39250,West Bengal,All India Trinamool Congress
Darjeeling,4,RAJU BISTA,GOPAL LAMA,All India Trinamool Congress,178525,West Bengal,Bharatiya Janata Party
Diamond harbour,21,ABHISHEK BANERJEE,ABHIJIT DAS (BOBBY),Bharatiya Janata Party,710930,West Bengal,All India Trinamool Congress
Dum dum,16,SOUGATA RAY,SILBHADRA DATTA,Bharatiya Janata Party,70660,West Bengal,All India Trinamool Congress
Ghatal,32,ADHIKARI DEEPAK (DEV),DR. HIRANMOY CHATTOPADHYAYA,Bharatiya Janata Party,182868,West Bengal,All India Trinamool Congress
Hooghly,28,RACHNA BANERJEE,LOCKET CHATTERJEE,Bharatiya Janata Party,76853,West Bengal,All India Trinamool Congress
Howrah,25,PRASUN BANERJEE,DR RATHIN CHAKRAVARTY,Bharatiya Janata Party,169442,West Bengal,All India Trinamool Congress
Jadavpur,22,SAYANI GHOSH,DR. ANIRBAN GANGULY,Bharatiya Janata Party,258201,West Bengal,All India Trinamool Congress
Jalpaiguri,3,DR JAYANTA KUMAR ROY,NIRMAL CHANDRA ROY,All India Trinamool Congress,86693,West Bengal,Bharatiya Janata Party
Jangipur,9,KHALILUR RAHAMAN,MURTOJA HOSSAIN BOKUL,Indian National Congress,116637,West Bengal,All India Trinamool Congress
Jhargram,33,KALIPADA SAREN (KHERWAL),DR. PRANAT TUDU,Bharatiya Janata Party,174048,West Bengal,All India Trinamool Congress
Joynagar,19,PRATIMA MONDAL,ASHOK KANDARY,Bharatiya Janata Party,470219,West Bengal,All India Trinamool Congress
Kanthi,31,ADHIKARI SOUMENDU,UTTAM BARIK SON OF LATE BIRENDRA BARIK,All India Trinamool Congress,47764,West Bengal,Bharatiya Janata Party
Kolkata Dakshin,23,MALA ROY,DEBASREE CHAUDHURI,Bharatiya Janata Party,187231,West Bengal,All India Trinamool Congress
Kolkata Uttar,24,BANDYOPADHYAY SUDIP,TAPAS ROY,Bharatiya Janata Party,92560,West Bengal,All India Trinamool Congress
Krishnanagar,12,MAHUA MOITRA,AMRITA ROY,Bharatiya Janata Party,56705,West Bengal,All India Trinamool Congress
Maldaha Dakshin,8,ISHA KHAN CHOUDHURY,SREERUPA MITRA CHAUDHURY (NIRBHAYA DIDI),Bharatiya Janata Party,128368,West Bengal,Indian National Congress
Maldaha Uttar,7,KHAGEN MURMU,PRASUN BANERJEE,All India Trinamool Congress,77708,West Bengal,Bharatiya Janata Party
Mathurapur,20,BAPI HALDAR,ASHOK PURKAIT,Bharatiya Janata Party,201057,West Bengal,All India Trinamool Congress
Medinipur,34,JUNE MALIAH,AGNIMITRA PAUL,Bharatiya Janata Party,27191,West Bengal,All India Trinamool Congress
Murshidabad,11,ABU TAHER KHAN,MD SALIM,Communist Party of India  (Marxist),164215,West Bengal,All India Trinamool Congress
Purulia,35,JYOTIRMAY SINGH MAHATO,SHANTIRAM MAHATO,All India Trinamool Congress,17079,West Bengal,Bharatiya Janata Party
Raiganj,5,KARTICK CHANDRA PAUL,KALYANI KRISHNA,All India Trinamool Congress,68197,West Bengal,Bharatiya Janata Party
Ranaghat,13,JAGANNATH SARKAR,MUKUT MANI ADHIKARI,All India Trinamool Congress,186899,West Bengal,Bharatiya Janata Party
Srerampur,27,KALYAN BANERJEE,KABIR SHANKAR BOSE,Bharatiya Janata Party,174830,West Bengal,All India Trinamool Congress
Tamluk,30,ABHIJIT GANGOPADHYAY,DEBANGSHU BHATTACHARYA,All India Trinamool Congress,77733,West Bengal,Bharatiya Janata Party
Uluberia,26,SAJDA AHMED,ARUNUDAY PAULCHOWDHURY,Bharatiya Janata Party,218673,West Bengal,All India Trinamool Congress
Srikakulam,2,KINJARAPU RAMMOHAN NAIDU,TILAK PERADA,Yuvajana Sramika Rythu Congress Party,327901,,Telugu Desam
Thirupathi(SC),23,GURUMOORTHY MADDILA,VARA PRASAD RAO VELAGAPALLI,Bharatiya Janata Party,14569,,Yuvajana Sramika Rythu Congress Party
Vijayawada,12,KESINENI SIVANATH (CHINNI),KESINENI SRINIVAS  (NANI),Yuvajana Sramika Rythu Congress Party,282085,,Telugu Desam
Visakhapatnam,4,SRIBHARAT MATHUKUMILI,JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party,504247,,Telugu Desam
Vizianagaram,3,APPALANAIDU KALISETTI,BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party,249351,,Telugu Desam
Ahmednagar,37,NILESH DNYANDEV LANKE,DR. SUJAY RADHAKRISHNA VIKHEPATIL,Bharatiya Janata Party,28929,Maharashtra,Nationalist Congress Party Sharadchandra Pawar
Akola,6,ANUP SANJAY DHOTRE,ABHAY KASHINATH PATIL,Indian National Congress,40626,Maharashtra,Bharatiya Janata Party
Amravati,7,BALWANT BASWANT WANKHADE,NAVNEET RAVI RANA,Bharatiya Janata Party,19731,Maharashtra,Indian National Congress
Aurangabad,19,BHUMARE SANDIPANRAO ASARAM,IMTIAZ JALEEL SYED,All India Majlis-E-Ittehadul Muslimeen,134650,Maharashtra,Shiv Sena
Baramati,35,SUPRIYA SULE,SUNETRA AJITDADA PAWAR,Nationalist Congress Party,158333,Maharashtra,Nationalist Congress Party Sharadchandra Pawar
Beed,39,BAJRANG MANOHAR SONWANE,PANKAJA GOPINATHRAO MUNDE,Bharatiya Janata Party,6553,Maharashtra,Nationalist Congress Party Sharadchandra Pawar
Bhandara Gondiya,11,DR. PRASHANT YADAORAO PADOLE,SUNIL BABURAO MENDHE,Bharatiya Janata Party,37380,Maharashtra,Indian National Congress
Bhiwandi,23,BALYA MAMA - SURESH GOPINATH MHATRE,KAPIL MORESHWAR PATIL,Bharatiya Janata Party,66121,Maharashtra,Nationalist Congress Party Sharadchandra Pawar
Buldhana,5,JADHAV PRATAPRAO GANPATRAO,NARENDRA DAGDU KHEDEKAR,Shiv Sena (Uddhav Balasaheb Thackrey),29479,Maharashtra,Shiv Sena
Chandrapur,13,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,MUNGANTIWAR SUDHIR SACCHIDANAND,Bharatiya Janata Party,260406,Maharashtra,Indian National Congress
Dhule,2,BACHHAV SHOBHA DINESH,BHAMRE SUBHASH RAMRAO,Bharatiya Janata Party,3831,Maharashtra,Indian National Congress
Dindori,20,BHASKAR MURLIDHAR BHAGARE,DR. BHARATI PRAVIN PAWAR,Bharatiya Janata Party,113199,Maharashtra,Nationalist Congress Party Sharadchandra Pawar
Gadchiroli - Chimur,12,DR. KIRSAN NAMDEO,ASHOK  MAHADEORAO NETE,Bharatiya Janata Party,141696,Maharashtra,Indian National Congress
Hatkanangale,48,DHAIRYASHEEL SAMBHAJIRAO MANE,SATYAJEET BABASAHEB PATIL (AABA) SARUDKAR,Shiv Sena (Uddhav Balasaheb Thackrey),13426,Maharashtra,Shiv Sena
Hingoli,15,AASHTIKAR PATIL NAGESH BAPURAO,BABURAO KADAM KOHALIKAR,Shiv Sena,108602,Maharashtra,Shiv Sena (Uddhav Balasaheb Thackrey)
Jalgaon,3,SMITA UDAY WAGH,KARAN BALASAHEB PATIL - PAWAR,Shiv Sena (Uddhav Balasaheb Thackrey),251594,Maharashtra,Bharatiya Janata Party
Jalna,18,KALYAN VAIJINATHRAO KALE,DANVE RAOSAHEB DADARAO,Bharatiya Janata Party,109958,Maharashtra,Indian National Congress
Kalyan,24,DR SHRIKANT EKNATH SHINDE,VAISHALI DAREKAR - RANE,Shiv Sena (Uddhav Balasaheb Thackrey),209144,Maharashtra,Shiv Sena
Kolhapur,47,CHHATRAPATI SHAHU SHAHAJI,SANJAY SADASHIVRAO MANDLIK,Shiv Sena,154964,Maharashtra,Indian National Congress
Latur,41,DR. KALGE SHIVAJI BANDAPPA,SUDHAKAR TUKARAM SHRANGARE,Bharatiya Janata Party,61881,Maharashtra,Indian National Congress
Sangli,44,VISHAL (DADA) PRAKASHBAPU PATIL,SANJAY (KAKA) PATIL,Bharatiya Janata Party,100053,Maharashtra,Independent
Satara,45,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,SHASHIKANT JAYVANTRAO SHINDE,Nationalist Congress Party – Sharadchandra Pawar,32771,Maharashtra,Bharatiya Janata Party
Shirdi,38,BHAUSAHEB RAJARAM WAKCHAURE,LOKHANDE SADASHIV KISAN,Shiv Sena,50529,Maharashtra,Shiv Sena (Uddhav Balasaheb Thackrey)
Shirur,36,DR. AMOL RAMSING KOLHE,ADHALRAO SHIVAJI DATTATREY,Nationalist Congress Party,140951,Maharashtra,Nationalist Congress Party Sharadchandra Pawar
Solapur,42,PRANITI SUSHILKUMAR SHINDE,RAM VITTHAL SATPUTE,Bharatiya Janata Party,74197,Maharashtra,Indian National Congress
Thane,25,NARESH GANPAT MHASKE,RAJAN BABURAO VICHARE,Shiv Sena (Uddhav Balasaheb Thackrey),217011,Maharashtra,Shiv Sena
Wardha,8,AMAR SHARADRAO KALE,RAMDAS CHANDRABHAN TADAS,Bharatiya Janata Party,81648,Maharashtra,Nationalist Congress Party Sharadchandra Pawar
Yavatmal- Washim,14,SANJAY UTTAMRAO DESHMUKH,RAJSHRITAI HEMANT PATIL (MAHALLE),Shiv Sena,94473,Maharashtra,Shiv Sena (Uddhav Balasaheb Thackrey)
Madha,43,MOHITE-PATIL DHAIRYASHEEL RAJSINH,RANJEETSINGH HINDURAO NAIK NIMBALKAR,Bharatiya Janata Party,120837,Maharashtra,Nationalist Congress Party – Sharadchandra Pawar
Maval,33,SHRIRANG APPA CHANDU BARNE,SANJOG BHIKU WAGHERE PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),96615,Maharashtra,Shiv Sena
Mumbai North,26,PIYUSH GOYAL,BHUSHAN PATIL,Indian National Congress,357608,Maharashtra,Bharatiya Janata Party
Mumbai North Central,29,GAIKWAD VARSHA EKNATH,ADV UJWAL NIKAM,Bharatiya Janata Party,16514,Maharashtra,Indian National Congress
Mumbai North East,28,SANJAY DINA PATIL,MIHIR CHANDRAKANT KOTECHA,Bharatiya Janata Party,29861,Maharashtra,Shiv Sena (Uddhav Balasaheb Thackrey)
Mumbai North West,27,RAVINDRA DATTARAM WAIKAR,AMOL GAJANAN KIRTIKAR,Shiv Sena (Uddhav Balasaheb Thackrey),48,Maharashtra,Shiv Sena
Mumbai South,31,ARVIND GANPAT SAWANT,YAMINI YASHWANT JADHAV,Shiv Sena,52673,Maharashtra,Shiv Sena (Uddhav Balasaheb Thackrey)
Mumbai South Central,30,ANIL YESHWANT DESAI,RAHUL RAMESH SHEWALE,Shiv Sena,53384,Maharashtra,Shiv Sena (Uddhav Balasaheb Thackrey)
Nagpur,10,NITIN JAIRAM GADKARI,VIKAS THAKRE,Indian National Congress,137603,Maharashtra,Bharatiya Janata Party
Nanded,16,CHAVAN VASANTRAO BALWANTRAO,CHIKHALIKAR PRATAPRAO GOVINDRAO,Bharatiya Janata Party,59442,Maharashtra,Indian National Congress
Nandurbar,1,ADV GOWAAL KAGADA PADAVI,DR HEENA VIJAYKUMAR GAVIT,Bharatiya Janata Party,159120,Maharashtra,Indian National Congress
Nashik,21,RAJABHAU (PARAG) PRAKASH WAJE,GODSE HEMANT TUKARAM,Shiv Sena,162001,Maharashtra,Shiv Sena (Uddhav Balasaheb Thackrey)
Osmanabad,40,OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,ARCHANA RANAJAGJITSINH PATIL,Nationalist Congress Party,329846,Maharashtra,Shiv Sena (Uddhav Balasaheb Thackrey)
Palghar,22,DR. HEMANT VISHNU SAVARA,BHARTI BHARAT KAMDI,Shiv Sena (Uddhav Balasaheb Thackrey),183306,Maharashtra,Bharatiya Janata Party
Parbhani,17,JADHAV SANJAY ( BANDU ) HARIBHAU,JANKAR MAHADEV JAGANNATH,Rashtriya Samaj Paksha,134061,Maharashtra,Shiv Sena (Uddhav Balasaheb Thackrey)
Pune,34,MURLIDHAR MOHOL,DHANGEKAR RAVINDRA HEMRAJ,Indian National Congress,123038,Maharashtra,Bharatiya Janata Party
Raigad,32,TATKARE SUNIL DATTATREY,ANANT GEETE,Shiv Sena (Uddhav Balasaheb Thackrey),82784,Maharashtra,Nationalist Congress Party
Ramtek,9,Shyamkumar (Babalu) Daulat Barve,RAJU DEONATH PARVE,Shiv Sena,76768,Maharashtra,Indian National Congress
Ratnagiri- Sindhudurg,46,NARAYAN TATU RANE,VINAYAK BHAURAO RAUT,Shiv Sena (Uddhav Balasaheb Thackrey),47858,Maharashtra,Bharatiya Janata Party
Raver,4,KHADSE RAKSHA NIKHIL,SHRIRAM DAYARAM PATIL,Nationalist Congress Party – Sharadchandra Pawar,272183,Maharashtra,Bharatiya Janata Party
