Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,State
Bhubaneswar,18,APARAJITA SARANGI,Bharatiya Janata Party,MANMATH KUMAR ROUTRAY,Biju Janata Dal,35152,Odisha
Bolangir,10,SANGEETA KUMARI SINGH DEO,Bharatiya Janata Party,SURENDRA SINGH BHOI,Biju Janata Dal,132664,Odisha
Cuttack,14,BHARTRUHARI MAHTAB,Bharatiya Janata Party,SANTRUPT MISRA,Biju Janata Dal,57077,Odisha
Dhenkanal,9,RUDRA NARAYAN PANY,Bharatiya Janata Party,ABINASH SAMAL,Biju Janata Dal,76567,Odisha
Jagatsinghpur,16,BIBHU PRASAD TARAI,Bharatiya Janata Party,DR. RAJASHREE MALLICK,Biju Janata Dal,40696,Odisha
Jajpur,8,RABINDRA NARAYAN BEHERA,Bharatiya Janata Party,SARMISTHA SETHI,Biju Janata Dal,1587,Odisha
Kalahandi,11,MALVIKA DEVI,Bharatiya Janata Party,LAMBODAR NIAL,Biju Janata Dal,133813,Odisha
Kandhamal,13,SUKANTA KUMAR PANIGRAHI,Bharatiya Janata Party,ACHYUTANANDA SAMANTA,Biju Janata Dal,21371,Odisha
Kendrapara,15,BAIJAYANT PANDA,Bharatiya Janata Party,ANSHUMAN MOHANTY,Biju Janata Dal,66536,Odisha
Keonjhar,4,ANANTA NAYAK,Bharatiya Janata Party,DHANURJAYA SIDU,Biju Janata Dal,97042,Odisha
Koraput,21,SAPTAGIRI SANKAR ULAKA,Indian National Congress,KAUSALYA HIKAKA,Biju Janata Dal,147744,Odisha
Mayurbhanj,5,NABA CHARAN MAJHI,Bharatiya Janata Party,SUDAM MARNDI,Biju Janata Dal,219334,Odisha
Nabarangpur,12,BALABHADRA MAJHI,Bharatiya Janata Party,PRADEEP KUMAR MAJHI,Biju Janata Dal,87536,Odisha
Puri,17,SAMBIT PATRA,Bharatiya Janata Party,ARUP MOHAN PATNAIK,Biju Janata Dal,104709,Odisha
Sambalpur,3,DHARMENDRA PRADHAN,Bharatiya Janata Party,PRANAB PRAKASH DAS,Biju Janata Dal,119836,Odisha
Sundargarh,2,JUAL ORAM,Bharatiya Janata Party,DILIP KUMAR TIRKEY,Biju Janata Dal,138808,Odisha
Puducherry,1,VE VAITHILINGAM,Indian National Congress,A NAMASSIVAYAM,Bharatiya Janata Party,136516,Puducherry
Amritsar,2,GURJEET SINGH AUJLA,Indian National Congress,KULDEEP SINGH DHALIWAL,Aam Aadmi Party,40301,Punjab
Anandpur Sahib,6,MALVINDER SINGH KANG,Aam Aadmi Party,VIJAY INDER SINGLA,Indian National Congress,10846,Punjab
Bathinda,11,HARSIMRAT KAUR BADAL,Shiromani Akali Dal,GURMEET SINGH KHUDIAN,Aam Aadmi Party,49656,Punjab
Faridkot,9,SARABJEET SINGH KHALSA,Independent,KARAMJIT SINGH ANMOL,Aam Aadmi Party,70053,Punjab
Fatehgarh Sahib,8,AMAR SINGH,Indian National Congress,GURPREET SINGH GP,Aam Aadmi Party,34202,Punjab
Firozpur,10,SHER SINGH GHUBAYA,Indian National Congress,JAGDEEP SINGH KAKA BRAR,Aam Aadmi Party,3242,Punjab
Gurdaspur,1,SUKHJINDER SINGH RANDHAWA,Indian National Congress,DINESH SINGH BABBU,Bharatiya Janata Party,82861,Punjab
Hoshiarpur,5,DR. RAJ KUMAR CHABBEWAL,Aam Aadmi Party,YAMINI GOMAR,Indian National Congress,44111,Punjab
Jalandhar,4,CHARANJIT SINGH CHANNI,Indian National Congress,SUSHIL KUMAR RINKU,Bharatiya Janata Party,175993,Punjab
Khadoor Sahib,3,AMRITPAL SINGH,Independent,KULBIR SINGH ZIRA,Indian National Congress,197120,Punjab
Ludhiana,7,AMRINDER SINGH RAJA WARRING,Indian National Congress,RAVNEET SINGH BITTU,Bharatiya Janata Party,20942,Punjab
Patiala,13,DR DHARAMVIRA GANDHI,Indian National Congress,DR BALBIR SINGH,Aam Aadmi Party,14831,Punjab
Sangrur,12,GURMEET SINGH MEET HAYER,Aam Aadmi Party,SUKHPAL SINGH KHAIRA,Indian National Congress,172560,Punjab
