Constituency,Const. No.,Leading Candidate,Trailing Candidate,Trailing Party,Margin,State,Leading Party
Surat,24,MUKESHKUMAR CHANDRAKAANT DALAL,,,-,Gujarat,Bharatiya Janata Party
Surendranagar,9,CHANDUBHAI CHHAGANBHAI SHIHORA,RUTVIKBHAI LAVJIBHAI MAKWANA,Indian National Congress,261617,Gujarat,Bharatiya Janata Party
Vadodara,20,DR. HEMANG JOSHI,PADHIYAR  JASHPALSINH MAHENDRASINH (BAPU),Indian National Congress,582126,Gujarat,Bharatiya Janata Party
Valsad,26,DHAVAL LAXMANBHAI PATEL,ANANTKUMAR HASMUKHBHAI PATEL,Indian National Congress,210704,Gujarat,Bharatiya Janata Party
AMBALA,1,VARUN CHAUDHRY,BANTO KATARIA,Bharatiya Janata Party,49036,Haryana,Indian National Congress
BHIWANI-MAHENDRAGARH,8,DHARAMBIR SINGH,RAO DAN SINGH,Indian National Congress,41510,Haryana,Bharatiya Janata Party
FARIDABAD,10,KRISHAN PAL,MAHENDER PRATAP SINGH,Indian National Congress,172914,Haryana,Bharatiya Janata Party
GURGAON,9,RAO INDERJIT SINGH,RAJ BABBAR,Indian National Congress,75079,Haryana,Bharatiya Janata Party
HISAR,4,JAI PARKASH (J P) S/O HARIKESH,RANJIT SINGH,Bharatiya Janata Party,63381,Haryana,Indian National Congress
KARNAL,5,MANOHAR LAL,DIVYANSHU BUDHIRAJA,Indian National Congress,232577,Haryana,Bharatiya Janata Party
KURUKSHETRA,2,NAVEEN JINDAL,DR SUSHIL GUPTA,Aam Aadmi Party,29021,Haryana,Bharatiya Janata Party
ROHTAK,7,DEEPENDER SINGH HOODA,DR. ARVIND KUMAR SHARMA,Bharatiya Janata Party,345298,Haryana,Indian National Congress
